Account,Amount,Counterparty,Tags,Date,Location
Checking,618.06,Starbucks,"Travel, Dining, General Expenses, Transportation, Groceries",2022-10-21,Japan
Joint Account,480.69,Amazon,"Transportation, Travel, Entertainment, Dining, Groceries, General Expenses",2022-07-20,Singapore
Checking,234.02,Amazon,Dining,2022-12-17,Singapore
Savings,582.55,Starbucks,"General Expenses, Dining, Entertainment, Travel",2022-11-02,Japan
Joint Account,971.62,Starbucks,"Groceries, General Expenses, Dining, Transportation, Entertainment",2022-10-21,Australia
Joint Account,290.66,Uber,"Transportation, General Expenses, Groceries, Dining, Entertainment",2022-07-21,Singapore
Joint Account,367.96,Amazon,"Groceries, Entertainment",2022-12-21,Indonesia
Checking,784.66,Fairprice,"Travel, Entertainment, Groceries, Transportation, Dining, General Expenses",2022-08-01,Japan
Checking,973.09,Google,"Entertainment, Groceries, Transportation",2022-09-02,Singapore
Savings,827.54,Uber,"General Expenses, Transportation",2022-08-07,Japan
Joint Account,792.32,Walmart,"Groceries, Transportation, Dining, Travel, Entertainment",2022-07-15,Japan
Savings,379.25,Amazon,Groceries,2022-12-22,Indonesia
Joint Account,34.03,Gojek,"General Expenses, Transportation, Groceries, Dining, Entertainment, Travel",2022-11-23,Australia
Checking,859.62,Google,"General Expenses, Dining, Groceries, Transportation",2022-12-25,Australia
Savings,699.51,Walmart,"Groceries, General Expenses, Entertainment, Transportation, Travel",2022-08-19,Australia
Joint Account,590.06,Amazon,"Transportation, Groceries, General Expenses",2022-12-01,Japan
Checking,265.48,Google,"Groceries, Transportation, Entertainment, General Expenses, Travel",2022-10-31,Singapore
Joint Account,517.47,Google,"Groceries, Entertainment, Travel, Transportation, Dining",2022-06-06,Indonesia
Savings,197.18,Walmart,"Dining, Travel, Groceries, Entertainment, Transportation, General Expenses",2022-07-18,Indonesia
Checking,600.24,Google,"General Expenses, Travel, Transportation",2022-08-11,Japan
Savings,28.53,Uber,"Groceries, Transportation, General Expenses, Entertainment, Travel, Dining",2022-11-06,Indonesia
Joint Account,447.93,ACME,"General Expenses, Dining, Groceries, Transportation, Travel",2022-09-15,Singapore
Checking,786.23,Gojek,Dining,2022-09-04,Australia
Joint Account,764.47,Walmart,"Dining, Entertainment",2022-08-01,Indonesia
Joint Account,198.37,ACME,"Dining, Groceries, General Expenses, Travel",2022-12-05,Indonesia
Checking,39.1,Fairprice,"Transportation, General Expenses, Entertainment, Groceries, Travel, Dining",2022-10-28,Japan
Joint Account,852.34,Walmart,Travel,2022-06-16,Indonesia
Joint Account,139.57,Amazon,"Entertainment, Travel, Groceries, General Expenses, Transportation, Dining",2022-11-25,Singapore
Joint Account,520.45,Uber,"Groceries, Dining, Transportation, Entertainment, Travel, General Expenses",2022-09-07,Japan
Checking,714.43,Fairprice,"Groceries, Travel, General Expenses, Transportation, Entertainment, Dining",2022-11-05,Australia
Joint Account,815.76,Gojek,Entertainment,2022-06-05,Australia
Savings,137.24,Walmart,"Transportation, Groceries",2022-10-22,Indonesia
Joint Account,413.38,Uber,Transportation,2022-10-17,Australia
Checking,892.51,Amazon,"Groceries, General Expenses, Travel, Transportation",2022-06-06,Japan
Checking,218.66,Uber,"Groceries, Entertainment, General Expenses",2022-10-11,Japan
Joint Account,685.28,Gojek,"Groceries, Travel, Dining, General Expenses, Transportation",2022-07-27,Australia
Checking,463.55,Walmart,"Entertainment, General Expenses, Groceries",2022-10-19,Singapore
Savings,309.56,Walmart,"General Expenses, Entertainment, Travel, Groceries, Dining",2022-12-12,Australia
Savings,688.67,Starbucks,"Groceries, General Expenses, Dining, Entertainment, Transportation",2022-06-20,Australia
Joint Account,49.8,Gojek,"Travel, Transportation",2022-12-06,Indonesia
Joint Account,102.45,ACME,"Transportation, Entertainment, Travel",2022-12-12,Indonesia
Checking,427.42,Walmart,"Dining, Groceries, Travel, Transportation",2022-09-17,Singapore
Checking,600.12,Grab,"Entertainment, Travel, Dining",2022-11-11,Japan
Checking,921.26,Fairprice,"Entertainment, Transportation, Dining, Groceries, Travel, General Expenses",2022-10-02,Australia
Joint Account,551.98,Walmart,Transportation,2022-07-20,Australia
Joint Account,905.47,Google,"Travel, Transportation, Entertainment, General Expenses, Groceries",2022-06-10,Singapore
Joint Account,262.21,ACME,"Groceries, Transportation, Travel, General Expenses, Dining, Entertainment",2022-09-02,Singapore
Savings,150.6,Walmart,Travel,2022-06-27,Singapore
Checking,76.95,Gojek,Entertainment,2022-10-07,Australia
Joint Account,792.08,ACME,"Transportation, Groceries, Entertainment, General Expenses, Travel, Dining",2022-12-05,Australia
Joint Account,880.8,Amazon,Entertainment,2022-06-13,Australia
Checking,412.4,Uber,"Travel, Dining, Groceries",2022-12-13,Singapore
Savings,599.32,Uber,"General Expenses, Transportation, Dining, Entertainment, Groceries",2022-07-10,Japan
Joint Account,902.51,ACME,"Dining, Entertainment, Transportation",2022-11-03,Australia
Savings,662.81,Google,"Travel, Groceries, Dining, Entertainment, Transportation, General Expenses",2022-12-05,Japan
Joint Account,726.52,ACME,"Groceries, Dining, Travel, Transportation",2022-11-12,Singapore
Checking,69.61,Grab,"Travel, Groceries, Entertainment",2022-06-24,Australia
Savings,903.54,Uber,"Entertainment, Transportation",2022-11-16,Australia
Savings,709.11,Walmart,"Groceries, Dining, Entertainment, Transportation",2022-11-29,Australia
Savings,449.62,Google,"Transportation, Groceries, Dining, Travel, General Expenses",2022-10-04,Singapore
Checking,230.26,Fairprice,"Transportation, General Expenses, Travel, Dining, Entertainment",2022-09-14,Singapore
Savings,637.63,Starbucks,Dining,2022-08-01,Singapore
Checking,761.77,Fairprice,"Groceries, General Expenses",2022-06-22,Australia
Checking,74.69,Uber,"Travel, General Expenses, Transportation, Dining",2022-11-14,Singapore
Savings,114.62,Uber,"Dining, Entertainment, General Expenses",2022-11-19,Australia
Checking,925.44,Gojek,Dining,2022-10-05,Singapore
Checking,143.6,Starbucks,"Dining, General Expenses, Transportation",2022-11-11,Singapore
Checking,802.36,Walmart,"Groceries, Dining, Transportation, General Expenses, Entertainment, Travel",2022-06-28,Japan
Checking,631.42,Starbucks,"Dining, General Expenses, Transportation, Entertainment, Groceries, Travel",2022-10-15,Indonesia
Checking,207.48,Grab,"Transportation, Dining, Travel, Groceries, Entertainment, General Expenses",2022-11-22,Japan
Savings,927.91,Amazon,"General Expenses, Travel, Entertainment",2022-11-27,Singapore
Savings,469.34,Fairprice,General Expenses,2022-06-11,Indonesia
Checking,785.91,Fairprice,"Dining, Transportation, Travel, General Expenses, Groceries, Entertainment",2022-06-19,Australia
Joint Account,791.66,ACME,"Transportation, Groceries, Travel",2022-06-28,Singapore
Savings,676.32,Amazon,"Groceries, General Expenses, Transportation, Travel",2022-09-10,Singapore
Savings,639.24,Fairprice,"General Expenses, Dining, Groceries",2022-06-26,Singapore
Savings,285.23,Google,Transportation,2022-11-18,Singapore
Joint Account,106.93,Gojek,"Groceries, Transportation",2022-06-07,Japan
Joint Account,946.86,Walmart,"Groceries, Dining, Travel, Entertainment, General Expenses, Transportation",2022-08-08,Australia
Checking,633.59,Grab,"Transportation, Dining, General Expenses, Travel, Entertainment, Groceries",2022-07-28,Australia
Savings,59.73,Grab,Groceries,2022-08-13,Singapore
Savings,933.84,Walmart,"Dining, Transportation, Travel, Groceries, Entertainment, General Expenses",2022-12-27,Japan
Savings,779.4,Google,"General Expenses, Transportation, Dining, Entertainment, Groceries",2022-09-03,Australia
Checking,675.18,Uber,"Dining, General Expenses",2022-07-11,Japan
Checking,733.6,ACME,"Entertainment, Dining, Transportation, Groceries, General Expenses, Travel",2022-09-09,Australia
Checking,585.97,Uber,"General Expenses, Groceries, Entertainment, Travel, Dining, Transportation",2022-09-15,Indonesia
Joint Account,918.25,Walmart,"Transportation, Travel",2022-11-06,Indonesia
Savings,700.19,ACME,"Groceries, Travel, Dining",2022-07-19,Indonesia
Savings,317.86,Gojek,Dining,2022-11-11,Singapore
Checking,173.65,Google,"General Expenses, Dining, Travel, Transportation, Groceries",2022-10-01,Indonesia
Savings,220.04,Gojek,"Dining, Travel, Groceries, Transportation, General Expenses, Entertainment",2022-06-08,Indonesia
Savings,513.15,ACME,"Groceries, Travel, Dining, Transportation, General Expenses",2022-08-31,Indonesia
Joint Account,911.84,Amazon,"Travel, Dining, Groceries",2022-09-03,Australia
Checking,286.33,Fairprice,"Transportation, General Expenses, Groceries",2022-08-25,Singapore
Checking,803.56,ACME,"Groceries, Travel, Transportation, Entertainment, General Expenses",2022-09-24,Australia
Joint Account,348.12,Uber,Entertainment,2022-07-18,Japan
Savings,716.99,Amazon,"Groceries, Dining, Travel, Transportation",2022-06-15,Singapore
Joint Account,211.81,Uber,"Dining, Groceries, Travel, Entertainment, Transportation, General Expenses",2022-10-10,Singapore
Joint Account,500.95,Uber,"Transportation, Dining, Groceries, Entertainment",2022-12-14,Indonesia
Joint Account,951.31,ACME,"Travel, Transportation, Groceries, Entertainment",2022-06-01,Australia
Joint Account,242.42,Starbucks,"Dining, Entertainment, Groceries, General Expenses, Transportation, Travel",2022-09-27,Indonesia
Savings,323.47,ACME,"Transportation, General Expenses, Groceries",2022-11-04,Indonesia
Joint Account,1.1,Walmart,"Groceries, Entertainment, Travel, Transportation, Dining, General Expenses",2022-09-23,Singapore
Joint Account,474.53,Walmart,"Transportation, Travel, Entertainment",2022-09-06,Indonesia
Checking,981.55,Fairprice,"Dining, Entertainment",2022-11-02,Australia
Joint Account,798.77,Walmart,"Travel, Transportation",2022-12-24,Singapore
Joint Account,257.44,Uber,"Dining, General Expenses, Groceries, Entertainment, Transportation, Travel",2022-12-01,Singapore
Checking,430.6,ACME,"Groceries, Entertainment, General Expenses, Dining",2022-06-02,Japan
Checking,753.5,Google,"Travel, General Expenses, Entertainment, Dining",2022-12-31,Indonesia
Checking,860.75,Amazon,"Travel, Groceries, Transportation",2022-09-05,Australia
Checking,529.82,Google,"Dining, General Expenses, Groceries, Entertainment, Transportation",2022-08-26,Singapore
Savings,921.76,Google,"Transportation, Groceries, General Expenses, Entertainment, Travel, Dining",2022-08-13,Australia
Joint Account,663.79,ACME,"Groceries, Travel, General Expenses, Dining, Transportation",2022-07-06,Singapore
Joint Account,593.75,Uber,"Travel, Transportation",2022-07-31,Indonesia
Savings,915.15,Fairprice,"Travel, Dining, Groceries, Entertainment, Transportation, General Expenses",2022-07-31,Australia
Joint Account,834.5,Uber,"Travel, Entertainment, Transportation, Dining, Groceries",2022-06-14,Singapore
Checking,102.65,Uber,General Expenses,2022-10-19,Indonesia
Checking,159.09,Amazon,"Dining, Entertainment, Groceries",2022-08-25,Singapore
Joint Account,577.24,ACME,"Dining, Entertainment, General Expenses",2022-10-20,Indonesia
Checking,883.68,Starbucks,"Travel, General Expenses, Transportation, Groceries",2022-11-26,Australia
Checking,352.91,Uber,"Entertainment, Groceries, Dining",2022-08-03,Japan
Joint Account,158.56,Walmart,Transportation,2022-10-25,Japan
Joint Account,882.63,ACME,"Entertainment, Dining, Travel, Groceries, Transportation",2022-12-18,Japan
Checking,357.61,Gojek,"Entertainment, Groceries, Dining, Travel",2022-07-04,Japan
Joint Account,240.22,Gojek,"Travel, General Expenses, Dining, Transportation, Groceries",2022-10-03,Australia
Savings,979.24,Starbucks,"Transportation, Entertainment, Groceries",2022-12-01,Japan
Checking,582.28,Uber,"Dining, Transportation, Travel, Groceries, General Expenses, Entertainment",2022-10-03,Singapore
Savings,577.32,Grab,"Transportation, General Expenses, Entertainment, Groceries",2022-08-20,Singapore
Checking,792.64,Google,"Travel, Entertainment, Groceries, Dining, General Expenses",2022-10-28,Indonesia
Savings,203.65,Uber,"Groceries, Entertainment, Transportation, Travel",2022-10-14,Australia
Joint Account,618.03,Uber,"Dining, Transportation, General Expenses, Entertainment",2022-10-25,Indonesia
Checking,268.74,Fairprice,"Travel, Entertainment",2022-08-23,Australia
Checking,714.39,Gojek,"Travel, Transportation, Groceries, General Expenses, Dining, Entertainment",2022-09-24,Singapore
Savings,332.65,Uber,"Entertainment, Travel",2022-06-25,Japan
Joint Account,567.71,Amazon,"Transportation, Dining, Groceries, Travel",2022-11-02,Japan
Checking,233.8,Google,"Entertainment, General Expenses, Transportation",2022-11-15,Indonesia
Checking,950.86,Amazon,"Entertainment, Transportation, Groceries, Dining, General Expenses, Travel",2022-12-03,Japan
Savings,981.75,Gojek,"General Expenses, Dining, Groceries, Entertainment, Transportation",2022-09-20,Australia
Checking,944.88,ACME,Groceries,2022-06-22,Japan
Savings,692.47,Amazon,"Entertainment, Groceries, Transportation, Dining, Travel",2022-12-13,Japan
Checking,734.08,Gojek,Dining,2022-08-26,Singapore
Joint Account,305.2,Gojek,"Transportation, Entertainment, Dining, General Expenses, Travel, Groceries",2022-07-18,Japan
Joint Account,682.72,Walmart,"Entertainment, Groceries, Travel, Dining",2022-12-17,Indonesia
Joint Account,711.7,Fairprice,Travel,2022-08-16,Indonesia
Joint Account,277.25,Walmart,"Dining, Travel",2022-07-08,Australia
Savings,865.08,Uber,"Dining, Travel",2022-07-11,Australia
Checking,426.29,Walmart,"Groceries, Entertainment, Travel, General Expenses",2022-08-16,Japan
Joint Account,224.23,Fairprice,Dining,2022-06-24,Australia
Checking,21.56,Gojek,"Entertainment, Groceries, Travel, General Expenses, Transportation",2022-08-05,Indonesia
Joint Account,811.99,Walmart,"Travel, General Expenses, Dining, Entertainment, Transportation, Groceries",2022-07-08,Japan
Savings,131.83,Fairprice,"Travel, Entertainment, Groceries, Transportation, Dining, General Expenses",2022-11-05,Singapore
Checking,345.17,Amazon,"Transportation, General Expenses",2022-09-01,Australia
Checking,833.68,Gojek,"Groceries, Transportation, General Expenses",2022-06-12,Indonesia
Checking,370.01,Google,"Dining, Travel, Groceries, Transportation, General Expenses, Entertainment",2022-10-24,Australia
Checking,159.55,Fairprice,"Groceries, Dining, Transportation, General Expenses, Travel",2022-06-10,Indonesia
Checking,692.62,Amazon,"Dining, Entertainment",2022-10-21,Singapore
Savings,182.55,Amazon,Dining,2022-08-31,Indonesia
Checking,805.62,Google,"Travel, Entertainment, Transportation, Dining, Groceries, General Expenses",2022-07-26,Australia
Savings,294.71,Grab,"Dining, Entertainment, Groceries",2022-10-21,Japan
Savings,15.33,Uber,"Groceries, Transportation",2022-07-25,Japan
Checking,181.21,Google,"Entertainment, Travel",2022-11-24,Japan
Savings,724.38,Fairprice,Entertainment,2022-07-15,Singapore
Checking,935.05,Gojek,"Entertainment, Travel, Groceries, Dining",2022-06-07,Australia
Savings,362.51,Gojek,"Groceries, Transportation",2022-07-18,Indonesia
Savings,42.71,Google,"Groceries, General Expenses, Travel, Dining",2022-12-28,Japan
Savings,773.63,Google,"Entertainment, Travel",2022-08-12,Singapore
Joint Account,315.09,Fairprice,"General Expenses, Transportation, Groceries",2022-12-17,Australia
Joint Account,241.87,Walmart,"Transportation, Travel, Dining, General Expenses, Groceries",2022-10-06,Indonesia
Savings,308.46,Amazon,Travel,2022-11-25,Indonesia
Joint Account,253.7,ACME,"Groceries, Transportation",2022-10-01,Indonesia
Checking,365.12,Google,"Entertainment, General Expenses, Groceries, Transportation, Dining, Travel",2022-12-27,Japan
Savings,368.79,ACME,"Transportation, Entertainment, Dining, Groceries, General Expenses",2022-09-17,Japan
Savings,843.53,Uber,"Groceries, General Expenses, Transportation, Dining",2022-11-06,Japan
Joint Account,728.59,ACME,"Travel, Groceries",2022-10-30,Singapore
Checking,102.09,Gojek,Travel,2022-10-08,Singapore
Savings,546.29,Amazon,"Dining, Transportation, Entertainment, Groceries",2022-07-13,Australia
Savings,185.89,Gojek,"Entertainment, General Expenses, Dining, Transportation, Groceries, Travel",2022-10-05,Australia
Savings,393.54,Starbucks,"Dining, Entertainment",2022-11-14,Indonesia
Savings,380.29,Grab,"Travel, General Expenses, Transportation, Entertainment, Groceries, Dining",2022-12-10,Japan
Savings,535.17,Google,"Travel, Transportation, Entertainment, General Expenses",2022-10-13,Japan
Savings,26.97,Gojek,"Groceries, Dining, Transportation, Travel, General Expenses",2022-12-12,Japan
Checking,416.55,Walmart,"Transportation, Groceries",2022-10-17,Japan
Savings,739.6,Amazon,"Transportation, Entertainment, Groceries, Travel, Dining, General Expenses",2022-08-06,Indonesia
Savings,978.6,ACME,"Dining, Travel, Entertainment, General Expenses, Transportation",2022-11-23,Singapore
Joint Account,783.96,Uber,"Groceries, General Expenses",2022-11-26,Singapore
Savings,376.47,Walmart,"Groceries, General Expenses, Travel",2022-10-06,Indonesia
Joint Account,899.53,Fairprice,"Entertainment, Transportation, Dining, Travel, General Expenses",2022-08-19,Indonesia
Joint Account,195.31,ACME,"Entertainment, General Expenses, Transportation, Groceries, Dining",2022-10-28,Singapore
Joint Account,160.07,Walmart,"Groceries, Travel, Dining, Entertainment, Transportation, General Expenses",2022-12-07,Singapore
Joint Account,763.46,Grab,"General Expenses, Groceries, Transportation, Dining, Travel",2022-09-15,Indonesia
Joint Account,548.99,Google,"Transportation, Travel, Entertainment",2022-07-15,Japan
Savings,310.52,Google,Entertainment,2022-07-04,Japan
Checking,324.07,Starbucks,"Transportation, Travel, General Expenses",2022-06-19,Australia
Joint Account,869.89,ACME,"General Expenses, Travel, Groceries, Transportation, Dining, Entertainment",2022-12-09,Indonesia
Joint Account,517.72,Amazon,"Transportation, Travel, Dining, Entertainment, General Expenses, Groceries",2022-10-27,Singapore
Joint Account,664.69,Uber,Dining,2022-07-05,Singapore
Joint Account,475.99,Fairprice,"Transportation, Groceries, Dining",2022-06-16,Singapore
Checking,930.48,Fairprice,"General Expenses, Groceries",2022-12-27,Japan
Savings,898.57,Fairprice,"Entertainment, Travel, Transportation",2022-12-28,Australia
Savings,394.39,ACME,"General Expenses, Transportation, Entertainment, Dining, Groceries, Travel",2022-10-31,Indonesia
Joint Account,682.98,Amazon,"Entertainment, Travel, General Expenses",2022-09-18,Japan
Checking,559.11,Starbucks,"General Expenses, Travel, Entertainment, Dining",2022-07-02,Singapore
Checking,513.61,Amazon,"Transportation, Travel, General Expenses, Dining",2022-08-12,Australia
Checking,100.11,Uber,"Travel, Entertainment, General Expenses",2022-09-12,Japan
Checking,425.25,ACME,Dining,2022-12-29,Singapore
Checking,775.05,Starbucks,"General Expenses, Entertainment, Groceries, Transportation, Travel",2022-12-11,Singapore
Joint Account,802.01,Walmart,"Transportation, Travel",2022-07-21,Indonesia
Checking,293.95,Walmart,"Dining, Entertainment, General Expenses",2022-09-23,Japan
Checking,91.57,ACME,Entertainment,2022-08-01,Japan
Checking,324.31,Uber,"General Expenses, Travel, Transportation, Groceries",2022-06-15,Japan
Joint Account,187.38,Fairprice,"Transportation, Dining",2022-09-11,Indonesia
Joint Account,705.3,Amazon,"Entertainment, Dining, Travel",2022-06-17,Australia
Savings,883.55,ACME,"Dining, Transportation, Entertainment, Travel, Groceries",2022-08-18,Japan
Checking,72.29,Google,"Groceries, General Expenses",2022-08-26,Australia
Joint Account,363.87,Gojek,Dining,2022-06-13,Indonesia
Savings,537.71,Amazon,"General Expenses, Travel, Transportation, Entertainment, Dining",2022-08-21,Australia
Savings,942.09,Grab,"Transportation, Travel, General Expenses, Entertainment, Groceries",2022-07-08,Australia
Checking,903.16,Uber,Travel,2022-12-20,Japan
Savings,715.73,Walmart,"General Expenses, Transportation",2022-06-10,Singapore
Savings,565.26,Uber,Transportation,2022-07-29,Singapore
Checking,980.43,Gojek,"General Expenses, Entertainment, Travel",2022-11-14,Indonesia
Checking,966.25,Gojek,"Transportation, Travel, Dining",2022-12-03,Indonesia
Joint Account,999.45,Uber,"Dining, Transportation, Groceries, Entertainment",2022-09-26,Australia
Joint Account,17.45,Google,Groceries,2022-08-10,Singapore
Joint Account,62.13,Starbucks,"General Expenses, Dining, Groceries",2022-12-09,Australia
Joint Account,395.04,Fairprice,"Dining, Travel, Transportation, Entertainment, Groceries",2022-12-19,Indonesia
Joint Account,62.66,Google,"Groceries, Dining",2022-06-15,Indonesia
Savings,482.89,Amazon,Dining,2022-07-24,Japan
Joint Account,678.38,Starbucks,"Dining, Transportation, General Expenses, Groceries, Travel",2022-06-20,Singapore
Checking,994.4,Uber,Dining,2022-11-14,Indonesia
Savings,619.82,ACME,"Dining, Groceries",2022-10-28,Australia
Savings,719.68,Starbucks,"General Expenses, Transportation, Groceries",2022-08-25,Indonesia
Checking,541.91,Uber,Travel,2022-09-21,Singapore
Savings,283.67,Gojek,"Travel, Transportation, Groceries, Entertainment",2022-09-18,Australia
Savings,494.95,Starbucks,"Dining, General Expenses",2022-07-12,Singapore
Savings,106.09,Amazon,Transportation,2022-11-29,Singapore
Savings,214.8,Starbucks,"Groceries, Entertainment, Travel, Transportation",2022-12-03,Japan
Joint Account,528.01,Uber,Groceries,2022-08-06,Singapore
Savings,618.7,Fairprice,Transportation,2022-06-24,Australia
Joint Account,624.2,Google,"Groceries, Travel, Entertainment, Transportation, General Expenses, Dining",2022-10-27,Australia
Joint Account,189.24,Fairprice,"General Expenses, Dining",2022-11-28,Japan
Checking,581.71,Google,"Groceries, Entertainment, Dining, General Expenses, Travel, Transportation",2022-10-25,Australia
Joint Account,18.39,Walmart,"Transportation, Dining, General Expenses, Travel, Entertainment",2022-08-27,Japan
Checking,89.27,Fairprice,"Travel, General Expenses, Transportation, Dining, Entertainment",2022-12-05,Australia
Checking,669.01,Google,"Groceries, Entertainment, General Expenses, Dining, Travel",2022-06-10,Singapore
Joint Account,184.46,Google,"Transportation, Dining, Entertainment",2022-12-27,Singapore
Checking,140.06,ACME,Groceries,2022-09-29,Australia
Savings,12.36,ACME,"Travel, Dining, Transportation, General Expenses, Groceries",2022-06-22,Indonesia
Savings,188.25,ACME,"General Expenses, Dining, Travel, Entertainment, Groceries, Transportation",2022-06-07,Singapore
Savings,696.52,Google,"General Expenses, Travel",2022-07-27,Indonesia
Joint Account,841.02,Amazon,General Expenses,2022-08-10,Indonesia
Savings,394.4,Fairprice,"Travel, Groceries, Transportation",2022-06-08,Australia
Checking,826.03,Uber,"Transportation, Entertainment, Travel, Groceries, General Expenses, Dining",2022-09-06,Singapore
Checking,782.04,Walmart,"Travel, Entertainment",2022-07-22,Indonesia
Savings,262.34,Uber,"Entertainment, General Expenses, Transportation, Groceries",2022-10-24,Indonesia
Savings,885.44,Grab,"Dining, Groceries, Travel, Entertainment, Transportation",2022-09-10,Australia
Joint Account,551.11,Gojek,"Groceries, Dining, Travel, General Expenses, Transportation",2022-06-04,Indonesia
Joint Account,841.83,Amazon,"General Expenses, Entertainment, Dining, Travel",2022-07-02,Singapore
Joint Account,334.61,Google,Travel,2022-12-17,Australia
Joint Account,897.2,Grab,"Entertainment, Groceries, Transportation",2022-09-05,Indonesia
Joint Account,831.07,Amazon,"Groceries, Transportation, Dining",2022-07-01,Australia
Savings,655.05,ACME,General Expenses,2022-12-16,Japan
Savings,112.77,Fairprice,"Groceries, Travel, Dining, General Expenses, Entertainment, Transportation",2022-09-09,Japan
Joint Account,385.36,Fairprice,"General Expenses, Groceries, Transportation, Entertainment",2022-12-16,Singapore
Savings,339.57,Walmart,"Transportation, Travel, Groceries, Entertainment, Dining, General Expenses",2022-12-05,Australia
Joint Account,620.8,Grab,"Entertainment, Travel",2022-12-12,Indonesia
Savings,463.32,Walmart,"Transportation, Groceries",2022-06-18,Japan
Checking,33.27,Starbucks,General Expenses,2022-08-22,Indonesia
Joint Account,442.03,Starbucks,"Entertainment, Transportation, Travel",2022-08-25,Japan
Checking,399.44,Walmart,"Travel, General Expenses, Transportation, Groceries, Dining",2022-09-05,Singapore
Joint Account,197.79,Gojek,"Entertainment, Dining, General Expenses",2022-11-30,Indonesia
Checking,660.84,Walmart,"General Expenses, Entertainment, Transportation, Dining",2022-11-21,Japan
Savings,832.41,Google,Groceries,2022-10-03,Australia
Checking,132.99,Grab,Groceries,2022-12-24,Australia
Joint Account,420.36,Uber,"Dining, Travel, General Expenses",2022-06-07,Australia
Savings,518.77,Google,General Expenses,2022-09-22,Indonesia
Joint Account,163.0,Amazon,"Travel, Groceries",2022-09-20,Japan
Joint Account,17.67,Uber,"Dining, General Expenses, Travel, Groceries, Transportation, Entertainment",2022-12-10,Indonesia
Joint Account,409.0,Starbucks,"Travel, General Expenses, Transportation, Entertainment, Dining",2022-11-17,Australia
Checking,931.52,Starbucks,"Transportation, Entertainment, Groceries",2022-12-24,Singapore
Joint Account,227.94,Gojek,"Groceries, Entertainment, Transportation",2022-06-11,Indonesia
Savings,732.14,Grab,"Dining, Travel, General Expenses, Entertainment",2022-12-22,Singapore
Joint Account,859.27,Google,"Travel, General Expenses, Transportation, Entertainment",2022-11-16,Japan
Savings,117.55,Walmart,"Travel, Transportation",2022-11-05,Indonesia
Checking,632.81,Google,"Travel, Entertainment, Groceries",2022-12-05,Japan
Checking,244.77,Gojek,Groceries,2022-09-07,Australia
Joint Account,462.0,Starbucks,"Dining, Groceries",2022-12-11,Indonesia
Savings,581.43,Google,"Travel, Groceries, General Expenses",2022-07-25,Indonesia
Checking,552.63,Walmart,"Groceries, Entertainment",2022-07-17,Japan
Savings,701.5,Amazon,"Travel, General Expenses, Groceries, Dining",2022-07-30,Australia
Savings,972.8,Fairprice,"Groceries, Dining, Entertainment, Transportation, Travel, General Expenses",2022-10-12,Indonesia
Joint Account,280.53,Fairprice,Dining,2022-11-27,Japan
Checking,404.1,Fairprice,"Groceries, General Expenses",2022-10-16,Japan
Checking,807.03,Fairprice,General Expenses,2022-08-04,Australia
Joint Account,394.6,Grab,General Expenses,2022-12-23,Singapore
Checking,607.33,Uber,"Entertainment, Travel, Dining, Transportation",2022-06-21,Indonesia
Savings,120.68,Gojek,"Dining, Groceries, Transportation, Travel, Entertainment, General Expenses",2022-11-08,Indonesia
Joint Account,8.1,Google,Transportation,2022-10-10,Indonesia
Savings,991.66,Gojek,"General Expenses, Travel, Entertainment, Dining",2022-06-08,Singapore
Checking,326.3,Gojek,"General Expenses, Dining, Entertainment, Travel, Transportation, Groceries",2022-06-03,Singapore
Joint Account,98.98,Gojek,"Travel, General Expenses, Transportation, Groceries, Entertainment",2022-09-12,Japan
Savings,795.09,Walmart,Groceries,2022-06-18,Australia
Joint Account,927.25,ACME,"General Expenses, Dining, Transportation, Groceries, Travel, Entertainment",2022-11-13,Australia
Savings,945.41,Fairprice,"Entertainment, Dining",2022-10-16,Indonesia
Checking,607.69,Walmart,"General Expenses, Groceries",2022-09-04,Singapore
Joint Account,817.73,Fairprice,"Transportation, General Expenses, Dining, Entertainment",2022-09-15,Japan
Joint Account,899.84,Starbucks,"Transportation, Entertainment, General Expenses",2022-07-06,Singapore
Joint Account,637.92,Starbucks,"Dining, Transportation, Groceries, General Expenses, Entertainment",2022-12-23,Singapore
Joint Account,727.15,Gojek,"Entertainment, Transportation, Groceries, Travel",2022-11-05,Indonesia
Checking,746.91,Fairprice,Travel,2022-06-20,Australia
Joint Account,53.96,Gojek,"General Expenses, Entertainment, Travel, Transportation, Dining",2022-08-16,Singapore
Joint Account,149.53,Starbucks,"Travel, Transportation",2022-06-07,Singapore
Savings,958.31,Amazon,General Expenses,2022-07-09,Australia
Joint Account,802.22,Fairprice,"Travel, Dining, Groceries",2022-12-14,Australia
Joint Account,110.49,Uber,"Travel, Entertainment, General Expenses, Groceries, Transportation, Dining",2022-08-14,Indonesia
Savings,51.64,Walmart,"General Expenses, Entertainment, Dining",2022-10-02,Singapore
Savings,78.93,Google,"Groceries, Dining, General Expenses",2022-07-03,Indonesia
Savings,945.49,Grab,"General Expenses, Transportation, Dining, Travel",2022-08-28,Indonesia
Checking,326.01,Grab,Groceries,2022-11-28,Australia
Savings,104.63,Google,"Dining, General Expenses, Travel, Entertainment, Transportation",2022-07-25,Japan
Checking,487.69,Fairprice,"General Expenses, Travel, Entertainment",2022-11-01,Singapore
